fold_id,policy,stage,count,demonstrations_sha256,changed_vs_filtered
l2-a09,review_filtered,sentiment,3,463e397a43da73dc9dc886af10e70114d03c0518b2f3a7c7f6b39581378d8109,False
l2-a09,label_masked_all_reviews,aspect,4,261215b3d709c7f90cbf74fed0814d7e5ecf28bd5d24e28e838c22ed0f02f605,False
l2-a09,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,True
l2-a10,review_filtered,aspect,4,1dde53489631a346c4f5735ed1f57a621d516d08a396b00177168847783b54d3,False
l2-a10,review_filtered,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a10,label_masked_all_reviews,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,True
l2-a10,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a11,review_filtered,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,False
l2-a11,review_filtered,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a11,label_masked_all_reviews,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,False
l2-a11,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a12,review_filtered,aspect,4,48fe7ad26bbe051a281a069b62eb5dce811c7abfeee9c93b8b23d640923bed9f,False
l2-a12,review_filtered,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
l2-a12,label_masked_all_reviews,aspect,4,8e6864b5d51f2d6eae7d8f35489850665c106aca4cc8581ca51e840b48db714b,True
l2-a12,label_masked_all_reviews,sentiment,3,6bdeb9e146feaa4e2fb6ce113ce83b26e179842b17ee39d3bb5a204391145938,False
